date,code,address,neighbourhood,municipality,collection point,taste,odor
19/11/2020,"S.A.
2399/20","Av. Euclides da Cunha  -
Abastecimento Carros-Pipa",Vila São João,"São João de
Meriti","Macro
Distribuição",1,1
21/11/2020,"S.A.
2424/20",Rua Coronel Camisão,Cordovil,Rio de Janeiro,"Rede de
Distribuição",1,1
21/11/2020,"S.A.
2457/20",Rua Vitor Frond,Coelho Neto,Rio de Janeiro,"Rede de
Distribuição",1,1
21/11/2020,"S.A.
2460/20",Rua Robert Schumann,Jardim América,Rio de Janeiro,"Rede de
Distribuição",1,1
21/11/2020,"S.A.
2462/20",Rua José Sombra,Irajá,Rio de Janeiro,"Rede de
Distribuição",1,1
21/11/2020,"S.A.
2463/20",Rua Japuanga,Parada de Lucas,Rio de Janeiro,"Rede de
Distribuição",1,1
21/11/2020,"S.A.
2465/20",Rua São Bartolomeu,Vigário Geral,Rio de Janeiro,"Rede de
Distribuição",1,1
22/11/2020,"S.A.
2404/20A","Alameda Calheiros da Graça -
Abastecimento Carros-Pipa",Jardim Primavera,"Duque de
Caxias","Macro
Distribuição",1,1
22/11/2020,"S.A.
2414/20",Rua Maria Helena,Rocha Sobrinho,Mesquita,"Rede de
Distribuição",1,1
23/11/2020,"Am.
31688/20",Rua Visconde de Sepetiba,Santa Cruz,Rio de Janeiro,"Rede de
Distribuição",1,1
23/11/2020,"Am.
31675/20",Estrada da Matriz,Pedra de Guaratiba,Rio de Janeiro,"Rede de
Distribuição",1,1
23/11/2020,"Am.
31693/20",Estrada Urucania,Paciência,Rio de Janeiro,"Rede de
Distribuição",1,1
23/11/2020,"Am.
31681/20",Estrada Piaí,Sepetiba,Rio de Janeiro,"Rede de
Distribuição",1,1
24/11/2020,"S.A.
2375/20","Rua Francisca Tomé - Reservatório
Centenário - Entrada",Centenário,"Duque de
Caxias","Macro
Distribuição",1,1
24/11/2020,"Am.
31106/20",Rua Conde de Porto Alegre,Centro,"Duque de
Caxias","Rede de
Distribuição",1,1
24/11/2020,"S.A.
2485/20",Rua Magoari,Realengo,Rio de Janeiro,"Rede de
Distribuição",1,1
24/11/2020,"S.A.
2525/20",Rua Cimbres,Coelho Neto,Rio de Janeiro,"Rede de
Distribuição",1,1
24/11/2020,"S.A.
2539/20",Rua Doutor Jose Thomaz,Pavuna,Rio de Janeiro,"Rede de
Distribuição",1,1
25/11/2020,"S.A.
2405/20","Estrada da Covanca  - Abastecimento
Carros-Pipa",Tanque,Rio de Janeiro,"Macro
Distribuição",1,1
25/11/2020,"S.A.
2523/20",Rua Fiação,Bangu,Rio de Janeiro,"Rede de
Distribuição",1,1
26/11/2020,"Am.
31928/20",Rua Maestro Germano Teixeira,Belford Roxo,Belford Roxo,"Rede de
Distribuição",1,1
26/11/2020,"S.A.
2617/20",Rua Alvaro De Magalhães,Jardim América,Rio de Janeiro,"Rede de
Distribuição",1,1
26/11/2020,"Am.
31850/20",Estrada do Lameirão,Santíssimo,Rio de Janeiro,"Rede de
Distribuição",1,1
26/11/2020,"S.A.
2628/20",Rua Coronel Cota,Méier,Rio de Janeiro,"Rede de
Distribuição",1,1
26/11/2020,"S.A.
2625/20",Rua Alves de Brito,Tijuca,Rio de Janeiro,"Rede de
Distribuição",1,1
27/11/2020,"Am.
32116/20",Rua Campo Largo,Padre Miguel,Rio de Janeiro,"Rede de
Distribuição",1,1
27/11/2020,"Am.
32134/20",Rua Abacates,Deodoro,Rio de Janeiro,"Rede de
Distribuição",1,1
27/11/2020,"Am.
32039/20",Rua Alberto de Campos,Ipanema,Rio de Janeiro,"Rede de
Distribuição",1,1
27/11/2020,"Am.
32168/20",Rua Marechal José Bevilaqua,Taquara,Rio de Janeiro,"Rede de
Distribuição",1,1
27/11/2020,"S.A.
2458/20A",Rua Américo Ribeiro Rezende,Olinda,Nilópolis,"Rede de
Distribuição",1,1
27/11/2020,"Am.
32043/20",Avenida Prudente de Morais,Ipanema,Rio de Janeiro,"Rede de
Distribuição",1,1
27/11/2020,"Am.
32016/20",Rua José Bonifácio,Todos os Santos,Rio de Janeiro,"Rede de
Distribuição",1,1
30/11/2020,"Am.
32327/20",Travessa Carminha,Andaraí,Rio de Janeiro,"Rede de
Distribuição",1,1
30/11/2020,"Am.
32407/20",Rua Chaves Faria,São Cristovão,Rio de Janeiro,"Rede de
Distribuição",1,1
29/11/2020,"Am.
32080/20",Rua General Rondon,Pq. Santa Eugênia,Nova Iguaçu,"Rede de
Distribuição",1,1
29/11/2020,"Am.
32072/20",Rua Maria Laura,Moquetá,Nova Iguaçu,"Rede de
Distribuição",1,1
29/11/2020,"Am.
32093/20",Rua Otavio Ascole,Chavascal,Nova Iguaçu,"Rede de
Distribuição",1,1
29/11/2020,"Am.
32074/20",Rua Savero José Bruno,Aeroclube,Nova Iguaçu,"Rede de
Distribuição",1,1
29/11/2020,"Am.
32200/20",Av. João de Deus Menezes,N.S. Anton,"São João de
Meriti","Rede de
Distribuição",1,1
29/11/2020,"Am.
32208/20",Rua São Pedro,Centro - S. João,"São João de
Meriti","Rede de
Distribuição",1,1
29/11/2020,"Am.
32198/20",Rua Luiz Laudares,P. Analândia,"São João de
Meriti","Rede de
Distribuição",1,1
29/11/2020,"Am.
32205/20",Rua Alagoas,Centro,"São João de
Meriti","Rede de
Distribuição",1,1
30/11/2020,"Am.
29345/20",Rua Eng. Álvaro Niemeyer,São Conrado,Rio de Janeiro,"Rede de
Distribuição",1,1
30/11/2020,"Am.
29355/20",Rua Einstein,Barra da Tijuca,Rio de Janeiro,"Rede de
Distribuição",1,1
30/11/2020,"Am.
29357/20",Estrada Barra da Tijuca,Barra da Tijuca,Rio de Janeiro,"Rede de
Distribuição",1,1
30/11/2020,"Am.
32296/20",Rua Bom Pastor,Tijuca,Rio de Janeiro,"Rede de
Distribuição",1,1
30/11/2020,"Am.
32318/20",Rua Barão do Bom Retiro,Engenho Novo,Rio de Janeiro,"Rede de
Distribuição",1,1
30/11/2020,"Am.
32265/20",Rua Marques de Leão,Engenho Novo,Rio de Janeiro,"Rede de
Distribuição",1,1
30/11/2020,"Am.
32269/20",Rua Leite Ribeiro,Méier,Rio de Janeiro,"Rede de
Distribuição",1,1
30/11/2020,"Am.
32281/20",Rua Pernambuco,Engenho de Dentro,Rio de Janeiro,"Rede de
Distribuição",1,1
30/11/2020,"Am.
32263/20",Rua Vinte e Quatro de Maio,"São Francisco
Xavier",Rio de Janeiro,"Rede de
Distribuição",1,1
01/12/2020,"S.A.
2639/20",Rua Henrique Braga,Oswaldo Cruz,Rio de Janeiro,"Rede de
Distribuição",1,1
01/12/2020,"S.A.
2640/20",Rua Quiroam,Oswaldo Cruz,Rio de Janeiro,"Rede de
Distribuição",1,1
01/12/2020,"S.A.
2432/20A",Rua Marechal Modestino,Realengo,Rio de Janeiro,"Rede de
Distribuição",1,1
02/12/2020,"Am.
32691/20",Rua Angélica Mota,Olaria,Rio de Janeiro,"Rede de
Distribuição",1,1
02/12/2020,"Am.
32708/20",Rua Iricume,Brás de Pina,Rio de Janeiro,"Rede de
Distribuição",1,1
02/12/2020,"Am.
32712/20",Rua Professor Rodolpho Rocco,"Cidade
Universitária",Rio de Janeiro,"Rede de
Distribuição",1,1
02/12/2020,"Am.
32725/20",Rua Ipiru,Cacuia,Rio de Janeiro,"Rede de
Distribuição",1,1
03/12/2020,"Am.
32781/20",Rua Professor Silvio Leite,Taquara,Rio de Janeiro,"Rede de
Distribuição",1,1
03/12/2020,"Am.
32773/20",Estrada Pau da Fome,Jacarepaguá,Rio de Janeiro,"Rede de
Distribuição",1,1
03/12/2020,"Am.
32670/20",Rua João Pessoa,Centro,Nilópolis,"Rede de
Distribuição",1,1
04/12/2020,"Am.
32595/12",Estrada do Lameirão,Santíssimo,Rio de Janeiro,"Rede de
Distribuição",1,1
04/12/2020,"Am.
32886/20",Rua Itajaí,Realengo,Rio de Janeiro,"Rede de
Distribuição",1,1
04/12/2020,"Am.
32895/20",Rua Vigilante Fortunato,Bangu,Rio de Janeiro,"Rede de
Distribuição",1,1
05/12/2020,"Am.
32975/20",Rua Muniz Barreto,Botafogo,Rio de Janeiro,"Rede de
Distribuição",1,1
05/12/2020,"Am.
32970/20",Avenida Rui Barbosa,Flamengo,Rio de Janeiro,"Rede de
Distribuição",1,1
05/12/2020,"Am.
33154/20",Rua Carolina Santos,"Lins de
Vasconcelos",Rio de Janeiro,"Rede de
Distribuição",1,1
05/12/2020,"Am.
33156/20",Rua Adriano,Todos os Santos,Rio de Janeiro,"Rede de
Distribuição",1,1
06/12/2020,"S.A.
2666/20",Rua Artur Menezes,Tijuca,Rio de Janeiro,"Rede de
Distribuição",1,1
06/12/2020,"S.A.
2654/20",Rua Ipiranga,Laranjeiras,Rio de Janeiro,"Rede de
Distribuição",1,1
08/12/2020,"Am.
33304/20",Rua Doutor Otávio Kelly,Tijuca,Rio de Janeiro,"Rede de
Distribuição",1,1
09/12/2020,"S.A.
2415/20",Reservatório Posse  - Saída,Posse,Nova Iguaçu,"Macro
Distribuição",1,1
09/12/2020,"S.A.
2415/20",Reservatório Posse  - Entrada,Posse,Nova Iguaçu,"Macro
Distribuição",1,1
09/12/2020,"Am.
32743/20",Estrada Coronel Pedro Correa,Barra da Tijuca,Rio de Janeiro,"Rede de
Distribuição",1,1
09/12/2020,"Am.
33424/20",Rua Pinto da Fonseca,Magalhães Bastos,Rio de Janeiro,"Rede de
Distribuição",1,1
10/12/2020,"Am.
33125/20",Rua São Leobaldo,Gávea,Rio de Janeiro,"Rede de
Distribuição",1,1
10/12/2020,"Am.
33130/20",Rua Major Rolinda da Silva,Barra da Tijuca,Rio de Janeiro,"Rede de
Distribuição",1,1
10/12/2020,"Am.
33253/20",Rua Garcia Redondo,Cachambi,Rio de Janeiro,"Rede de
Distribuição",1,1
10/12/2020,"Am.
33277/20",Rua Licínio Cardoso,"São Francisco
Xavier",Rio de Janeiro,"Rede de
Distribuição",1,1
11/12/2020,"Am.
33596/20",Rua Pedro Ernesto,Gamboa,Rio de Janeiro,"Rede de
Distribuição",1,1
11/12/2020,"Am.
33524/20",Rua Benajmim Batista,Jardim Botânico,Rio de Janeiro,"Rede de
Distribuição",1,1
11/12/2020,"Am.
33365/20",Rua Olímpia Esteves,Padre Miguel,Rio de Janeiro,"Rede de
Distribuição",1,1
13/12/2020,"Am.
33395/20",Estrada São João Caxias,Centro,"São João de
Meriti","Rede de
Distribuição",1,1
13/12/2020,"Am.
33398/20",Rua Anastácio Correia,Parque Barreto,"São João de
Meriti","Rede de
Distribuição",1,1
13/12/2020,"S.A.
2704/20",Rua Monte Santo,Irajá,Rio de Janeiro,"Rede de
Distribuição",1,1
13/12/2020,"S.A.
2707/20",Rua Marechal Antônio Souza,Jardim América,Rio de Janeiro,"Rede de
Distribuição",1,1
13/12/2020,"Am.
31563/20",Rua Savero José Bruno,Aero Clube,Nova Iguaçu,"Rede de
Distribuição",1,1
14/12/2020,"Am.
31566/20",Rua Benedito Kely,"Parque Santa
Eugênia",Nova Iguaçu,"Rede de
Distribuição",1,1
15/12/2020,"Am.
26801/20",Avenida Doutor Manoel Reis,Centenário,"Duque de
Caxias","Rede de
Distribuição",1,1
15/12/2020,"Am.
33181/20",Estrada Feliciano Sodré,Centro,Mesquita,"Rede de
Distribuição",1,1
15/12/2020,"Am.
33188/20",Rua Doutor Heitor da Costa Val,Centro,Mesquita,"Rede de
Distribuição",1,1
15/12/2020,"S.A.
2732/20",Ladeira dos Guararapes,Cosme Velho,Rio de Janeiro,"Rede de
Distribuição",1,1
15/12/2020,"Am.
33906/20",Rua Batista da Costa,Lagoa,Rio de Janeiro,"Rede de
Distribuição",1,1
16/12/2020,"S.A.
2695/20","Alameda Calheiros da Graça -
Abastecimento Carros-Pipa",Jardim Primavera,"Duque de
Caxias","Macro
Distribuição",1,1
16/12/2020,"Am.
34007/20",Rua Arquias Cordeiro,Méier,Rio de Janeiro,"Rede de
Distribuição",1,1
15/12/2020,"Am.
26779/20",Rua Garibalde,"Jardim 25 de
Agosto","Duque de
Caxias","Rede de
Distribuição",1,1
16/12/2020,"Am.
34060/20",Rua Leverger,Realengo,Rio de Janeiro,"Rede de
Distribuição",1,1
18/12/2020,"S.A.
2685/20","Rua Delfim Moreira - Reservatório
São Matheus - Entrada",São Matheus,"São João de
Meriti","Macro
Distribuição",1,1
18/12/2020,"S.A.
2685/20","Rua Delfim Moreira - Reservatório
São Matheus - Saída",São Matheus,"São João de
Meriti","Macro
Distribuição",1,1
18/12/2020,"S.A.
2686/20","Rua Pacheco Leão - Reservatório
Macacos - Entrada",Jardim Botânico,Rio de Janeiro,"Macro
Distribuição",1,1
18/12/2020,"S.A.
2686/20","Rua Pacheco Leão - Reservatório
Macacos - Saída",Jardim Botânico,Rio de Janeiro,"Macro
Distribuição",1,1
18/12/2020,"S.A.
2687/20","Avenida Edson Passos - Reservatório
Caixa Nova - Entrada",Alto da Boa Vista,Rio de Janeiro,"Macro
Distribuição",1,1
18/12/2020,"S.A.
2687/20","Avenida Edson Passos - Reservatório
Caixa Nova - Saída",Alto da Boa Vista,Rio de Janeiro,"Macro
Distribuição",1,1
18/12/2020,"S.A.
2683/20","Rua Pernambuco - Reservatório
Engenho de Dentro - Entrada",Engenho de Dentro,Rio de Janeiro,"Macro
Distribuição",1,1
18/12/2020,"S.A.
2683/20","Rua Pernambuco - Reservatório
Engenho de Dentro - Saída",Engenho de Dentro,Rio de Janeiro,"Macro
Distribuição",1,1
18/12/2020,"S.A.
2692/20","Avenida Euclides da Cunha -
Abastecimento Carros-Pipa",Vila São João,"São João de
Meriti","Macro
Distribuição",1,1
18/12/2020,"Am.
34455/20",Rua Vinte e Quatro de Maio,"São Francisco
Xavier",Rio de Janeiro,"Rede de
Distribuição",1,1
18/12/2020,"Am.
33965/20",Rua Barão,Praça Seca,Rio de Janeiro,"Rede de
Distribuição",1,1
18/12/2020,"S.A.
2689/20","Estrada Carlos Sampaio -
Abastecimento Carros-Pipa",Jd Queimados,Queimados,"Macro
Distribuição",1,1
18/12/2020,"S.A.
2691/20","Avenida Benjamim Pinto Dias -
Abastecimento Carros-Pipa 7",Belford Roxo,Belford Roxo,"Macro
Distribuição",1,1
18/12/2020,"S.A.
2690/20","Avenida Benjamim Pinto Dias -
Abastecimento Carros-Pipa 8",Belford Roxo,Belford Roxo,"Macro
Distribuição",1,1
18/12/2020,"Am.
34510/20",Rua José Rocha,Belford Roxo,Belford Roxo,"Rede de
Distribuição",1,1
19/12/2020,"S.A.
2696/20","Estrada da Covana - Abastecimento
Carros-Pipa",Tanque,Rio de Janeiro,"Macro
Distribuição",2,1
19/12/2020,"Am.
34580/20",Avenida Menezes Cortes,Jacarepaguá,Rio de Janeiro,"Rede de
Distribuição",2,1
20/12/2020,"S.A.
2261/20",Rua Gonçalves dos Santos,Penha Circular,Rio de Janeiro,"Rede de
Distribuição",2,1
20/12/2020,"S.A.
2740/20",Rua Mercúrio,Pavuna,Rio de Janeiro,"Rede de
Distribuição",1,1
21/12/2020,"Am.
34653/20",Estrada Guandu do Sena,Bangu,Rio de Janeiro,"Rede de
Distribuição",1,1
21/12/2020,"Am.
34659/20",Rua José Gomes Farias,Bangu,Rio de Janeiro,"Rede de
Distribuição",1,1
21/12/2020,"Am.
34683/20",Rua Cordovil,Parada de Lucas,Rio de Janeiro,"Rede de
Distribuição",1,1
21/12/2020,"Am.
34624/20",Avenida Cândido Portinari,Barra da Tijuca,Rio de Janeiro,"Rede de
Distribuição",1,1
22/12/2020,"Am.
34871/20",Rua André Rocha,Jacarepaguá,Rio de Janeiro,"Rede de
Distribuição",1,1
22/12/2020,"Am.
34877/20",Lad Freguesia,Freguesia,Rio de Janeiro,"Rede de
Distribuição",1,1
22/12/2020,"Am.
34769/20",Rua Pres. Gal. Craveiro Lopes,Olinda,Nilópolis,"Rede de
Distribuição",1,1
22/12/2020,"Am.
34791/20",Rua Dr Heitor da Costa Val,Centro,Mesquita,"Rede de
Distribuição",1,1
23/12/2020,"Am.
34816/20",Rua Dom Silvério,Olavo Bilac,"Duque de
Caxias","Rede de
Distribuição",1,1
23/12/2020,"Am.
34987/20",Rua Muniz Barreto,Botafogo,Rio de Janeiro,"Rede de
Distribuição",1,1
23/12/2020,"Am.
34980/20",Rua Marquês do Paraná,Flamengo,Rio de Janeiro,"Rede de
Distribuição",1,1
23/12/2020,"Am.
35016/20",Estrada São João Caxias,Centro,"São João de
Meriti","Rede de
Distribuição",1,1
23/12/2020,"Am.
35029/20",Rua Cândida Pires,Centro,"São João de
Meriti","Rede de
Distribuição",1,1
23/12/2020,"Am.
34925/20",Rua Alice,Laranjeiras,Rio de Janeiro,"Rede de
Distribuição",1,1
23/12/2020,"Am.
34932/20",Rua do Russel,Glória,Rio de Janeiro,"Rede de
Distribuição",1,1
23/12/2020,"Am.
34895/20",Avenida Epitácio Pessoa,Ipanema,Rio de Janeiro,"Rede de
Distribuição",1,1
23/12/2020,"Am.
34907/20",Ladeira dos Tabajaras,Copacabana,Rio de Janeiro,"Rede de
Distribuição",1,1
27/12/2020,"Am.
35295/20","Rua Marechal Raimundo M.
Belford",Pq Sta Eugenia,Nova Iguaçu,"Rede de
Distribuição",2,1
27/12/2020,"Am.
35292/20","Avenida Governador Roberto
Silveira",Centro,Nova Iguaçu,"Rede de
Distribuição",2,1
27/12/2020,"Am.
35300/20",Rua João Martins,K-11,Nova Iguaçu,"Rede de
Distribuição",3,1
27/12/2020,"Am.
35245/20",Rua Francis,Nova Piam,Belford Roxo,"Rede de
Distribuição",2,1
27/12/2020,"Am.
35233/20",Rua José Muniz,Belford Roxo,Belford Roxo,"Rede de
Distribuição",3,1
27/12/2020,"Am.
35286/20",Av. Dr. Salles Teixeira,Aero Clube,Nova Iguaçu,"Rede de
Distribuição",1,1
27/12/2020,"Am.
35240/20",Rua Paraguai,Belford Roxo,Rio de Janeiro,"Rede de
Distribuição",1,1
28/12/2020,"Am.
35484/20",Rua Atílio Milano,Del Castilho,Rio de Janeiro,"Rede de
Distribuição",1,1
28/12/2020,"Am.
35486/20",Avenida Itaoca,Bonsucesso,Rio de Janeiro,"Rede de
Distribuição",3,1
28/12/2020,"Am.
35494/20",Praça Aquidauana,"Vicente de
Carvalho",Rio de Janeiro,"Rede de
Distribuição",1,1
28/12/2020,"Am.
35500/20",Avenida Meriti,Vila Kosmos,Rio de Janeiro,"Rede de
Distribuição",1,1
28/12/2020,"S.A.
2683/20","Rua Pernambuco - Reservatório
Engenho de Dentro - Saída",Engenho de Dentro,Rio de Janeiro,"Macro
Distribuição",2,1
28/12/2020,"S.A.
2684/20","Rua Marechal Jardim - Reservatório
Pedregulho - Entrada",Benfica,Rio de Janeiro,"Macro
Distribuição",2,1
28/12/2020,"S.A.
2684/20","Rua Marechal Jardim - Reservatório
Pedregulho - Saída",Benfica,Rio de Janeiro,"Macro
Distribuição",2,1
30/12/2020,"S.A.
2693/20","Rua Capitão Damasceno -
Abastecimento Carros-Pipa 1",Circular,"Duque de
Caxias","Macro
Distribuição",1,1
30/12/2020,"S.A.
2694/20","Rua Capitão Damasceno -
Abastecimento Carros-Pipa 2",Circular,"Duque de
Caxias","Macro
Distribuição",1,1
30/12/2020,"Am.
35433/20",Rua Estácio de Sá,Estácio,Rio de Janeiro,"Rede de
Distribuição",1,1
30/12/2020,"Am.
35761/20",Rua Vieira Bueno,São Cristóvão,Rio de Janeiro,"Rede de
Distribuição",2,2
30/12/2020,"Am.
35449/20",Rua Carmo Neto,Santo Cristo,Rio de Janeiro,"Rede de
Distribuição",1,1
30/12/2020,"Am.
35722/20",Rua Jardim Botânico,Jardim Botânico,Rio de Janeiro,"Rede de
Distribuição",1,1
30/12/2020,"Am.
35734/20",Rua Oitis,Gávea,Rio de Janeiro,"Rede de
Distribuição",1,1
30/12/2020,"Am.
35787/20",Rua Carlos Seidl,Caju,Rio de Janeiro,"Rede de
Distribuição",2,2
